x, y_biblio(A), y_modele(B), abs_error, pct_error
4.677060133630295269e-02,6.061262380317563156e+02,-4.920212765957694501e+01,6.553283656913332607e+02,1.081174720004447494e+02
6.335716797561838365e-02,6.137370072120220357e+02,-4.920212765957694501e+01,6.629391348715989807e+02,1.080168096564819962e+02
7.994373461493382849e-02,6.213477763922877557e+02,-9.840425531914661406e+01,7.197520317114343698e+02,1.158372265996521691e+02
9.653030125424927332e-02,6.216696269982239755e+02,-9.840425531914661406e+01,7.200738823173705896e+02,1.158290273556227277e+02
1.131168678935647043e-01,5.228606234539397519e+02,-9.840425531914661406e+01,6.212648787730863660e+02,1.188203607051345045e+02
1.297034345328801352e-01,-2.220248667850792117e+02,-9.840425531914661406e+01,1.236206114659325976e+02,5.567872340425622468e+01
1.462900011721955940e-01,-2.220248667850792117e+02,-1.476063829787235591e+02,7.441848380635565263e+01,3.351808510638269212e+01
1.628765678115110249e-01,-2.220248667850792117e+02,-1.476063829787235591e+02,7.441848380635565263e+01,3.351808510638269212e+01
1.794631344508264559e-01,-3.209827370785931635e+03,-1.968085106383005041e+02,3.013018860147631131e+03,9.386856400971770142e+01
1.960497010901418868e-01,-2.380795210779701301e+04,-1.968085106383005041e+02,2.361114359715871251e+04,9.917334968691470465e+01
2.126362677294573178e-01,-2.384547069271758301e+04,-2.460106382978701731e+02,2.359946005441971283e+04,9.896831292840447247e+01
2.292228343687727765e-01,-2.384547069271758301e+04,-2.460106382978701731e+02,2.359946005441971283e+04,9.896831292840447247e+01
2.458094010080882075e-01,-2.384547069271758301e+04,-2.722764357702764642e+02,2.357319425694730671e+04,9.885816288015891473e+01
2.623959676474036384e-01,-2.384547069271758301e+04,-2.952127659574471181e+02,2.355025792676013589e+04,9.876197551408534991e+01
2.789825342867190971e-01,-2.383228609565823353e+04,-3.340565509518508520e+02,2.349822954470638433e+04,9.859830253123426758e+01
2.955691009260345004e-01,-2.375773300300877236e+04,-3.444148936170240631e+02,2.341331810939174829e+04,9.855030404806129241e+01
3.121556675653499591e-01,-2.366785079928951745e+04,-3.466345384738470443e+02,2.332121626081566865e+04,9.853542029898103749e+01
3.287422342046654178e-01,-2.366785079928951745e+04,-3.936170212765937322e+02,2.327423377801292372e+04,9.833691269809588675e+01
3.453288008439808210e-01,-2.366785079928951745e+04,-4.084146536554136446e+02,2.325943614563410301e+04,9.827439061907693940e+01
3.619153674832962797e-01,-2.370681641065402800e+04,-4.428191489361706772e+02,2.326399726171785733e+04,9.813210200279289097e+01
3.785019341226116829e-01,-2.377740319341038412e+04,-4.428191489361706772e+02,2.333458404447421344e+04,9.813764713777115389e+01
3.950885007619271416e-01,-2.380106571936056571e+04,-4.920212765957476222e+02,2.330904444276481809e+04,9.793277627818353892e+01
4.116750674012426003e-01,-2.382432745021656228e+04,-4.920212765957476222e+02,2.333230617362081466e+04,9.793479468570990321e+01
4.282616340405580035e-01,-2.384547069271758301e+04,-5.412234042553172912e+02,2.330424728846226571e+04,9.773028844248980818e+01
4.448482006798734623e-01,-2.374234663549694960e+04,-5.412234042553172912e+02,2.320112323124163231e+04,9.772043002924513644e+01
4.614347673191889210e-01,-2.366785079928951745e+04,-5.904255319148942363e+02,2.307742526737462322e+04,9.750536904714381592e+01
4.780213339585043242e-01,-2.366785079928951745e+04,-5.904255319148942363e+02,2.307742526737462322e+04,9.750536904714381592e+01
4.946079005978197829e-01,-2.490936825740331551e+04,-6.126219804831250713e+02,2.429674627692019203e+04,9.754059607553054434e+01
5.111944672371352416e-01,-2.553285968028418938e+04,-6.396276595744711813e+02,2.489323202070971820e+04,9.749488436632745447e+01
5.277810338764505893e-01,-2.553285968028418938e+04,-6.744020956646936611e+02,2.485845758461949663e+04,9.735868953141411453e+01
5.443676005157660480e-01,-2.426598282348379507e+04,-6.888297872340408503e+02,2.357715303624975422e+04,9.716133571739193542e+01
5.609541671550815067e-01,-2.384547069271758301e+04,-6.888297872340408503e+02,2.315664090548354216e+04,9.711127619953248313e+01
5.775407337943969655e-01,-2.384547069271758301e+04,-7.380319148936177953e+02,2.310743877782396521e+04,9.690493878521336057e+01
5.941273004337124242e-01,-2.384547069271758301e+04,-7.487601983682621949e+02,2.309671049434932138e+04,9.685994792043700841e+01
6.107138670730278829e-01,-2.384547069271758301e+04,-7.872340425531947403e+02,2.305823665016438827e+04,9.669860137089423802e+01
6.273004337123432306e-01,-2.384547069271758301e+04,-7.872340425531947403e+02,2.305823665016438827e+04,9.669860137089423802e+01
6.438870003516586893e-01,-2.384547069271758301e+04,-8.364361702127644094e+02,2.300903452250481860e+04,9.649226395657515809e+01
6.604735669909741480e-01,-2.380331433599287629e+04,-8.364361702127644094e+02,2.296687816578011189e+04,9.648605165479835932e+01
6.770601336302896067e-01,-2.371423372246199142e+04,-8.856382978723413544e+02,2.282859542458965007e+04,9.626537248372706301e+01
6.936467002696050654e-01,-2.371225577264653475e+04,-8.856382978723413544e+02,2.282661747477419340e+04,9.626506096103274501e+01
7.102332669089204131e-01,-2.371225577264653475e+04,-9.348404255319182994e+02,2.277741534711461645e+04,9.605756434775678088e+01
7.268198335482358718e-01,-2.368355914133897386e+04,-9.348404255319182994e+02,2.274871871580705556e+04,9.605278742121076618e+01
7.434064001875513306e-01,-2.321386595764254889e+04,-9.840425531914879684e+02,2.222982340445106092e+04,9.576097081379279530e+01
7.599929668268667893e-01,-2.274417277394612756e+04,-9.840425531914879684e+02,2.176013022075463959e+04,9.567343001228549326e+01
7.765795334661822480e-01,-2.227447959024970260e+04,-1.014747640377540506e+03,2.125973194987216266e+04,9.544434860412303578e+01
7.931661001054977067e-01,-2.180478640655327763e+04,-1.033244680851064913e+03,2.077154172570221272e+04,9.526138591047821080e+01
8.097526667448130544e-01,-2.133509322285685630e+04,-1.033244680851064913e+03,2.030184854200579139e+04,9.515706507556235749e+01
8.263392333841285131e-01,-2.086540003916043497e+04,-1.082446808510634582e+03,1.978295323064980039e+04,9.481224032858662554e+01
8.429258000234439718e-01,-2.051509769094138392e+04,-1.089105743081103128e+03,1.942599194786028238e+04,9.469119884541419196e+01
8.595123666627594305e-01,-2.051509769094138392e+04,-1.131648936170211527e+03,1.938344875477117239e+04,9.448382380031317496e+01
8.760989333020748893e-01,-1.962511396634528865e+04,-1.131648936170211527e+03,1.849346503017507712e+04,9.423366948028504453e+01
8.926854999413902370e-01,-1.674824321620471164e+04,-1.180851063829788473e+03,1.556739215237492317e+04,9.294940341750435664e+01
9.092720665807056957e-01,-1.387137246606411281e+04,-1.180851063829788473e+03,1.269052140223432434e+04,9.148713606588890457e+01
9.258586332200211544e-01,-1.099450171592351580e+04,-1.230053191489358142e+03,9.764448524434157662e+03,8.881210605745005182e+01
9.424451998593366131e-01,-8.117630965782918793e+03,-1.230053191489358142e+03,6.887577774293560651e+03,8.484714078929894754e+01
9.590317664986520718e-01,-5.240760215642321782e+03,-1.279255319148935087e+03,3.961504896493386696e+03,7.559027189737307140e+01
9.756183331379675305e-01,-2.363889465501724771e+03,-1.279255319148935087e+03,1.084634146352789685e+03,4.588345445850113435e+01
9.922048997772828782e-01,-9.325044404973341443e+02,-1.328457446808512032e+03,3.959530063111778873e+02,4.246124620060828647e+01
1.008791466416598226e+00,-9.325044404973341443e+02,-1.328457446808512032e+03,3.959530063111778873e+02,4.246124620060828647e+01
1.025378033055913907e+00,-9.325044404973341443e+02,-1.355093185090385532e+03,4.225887445930513877e+02,4.531761203921682579e+01
1.041964599695229143e+00,-8.790581544312415190e+02,-1.377659574468081701e+03,4.986014200368401816e+02,5.671995846047748557e+01
1.058551166334544602e+00,-8.436944937833031872e+02,-1.377659574468081701e+03,5.339650806847785134e+02,6.328891377379589755e+01
1.075137732973860061e+00,-8.436944937833031872e+02,-1.426861702127658646e+03,5.831672083443554584e+02,6.912066069428891524e+01
1.091724299613175519e+00,-1.652175755207282782e+04,-1.429451287793951451e+03,1.509230626427887546e+04,9.134806764178297556e+01
1.108310866252490978e+00,-2.366785079928951745e+04,-1.476063829787235591e+03,2.219178696950228186e+04,9.376342261785956111e+01
1.124897432891806437e+00,-2.376691485425736755e+04,-1.476063829787235591e+03,2.229085102447013196e+04,9.378941760494072355e+01
1.141483999531121896e+00,-2.356109876569684639e+04,-1.525265957446805260e+03,2.203583280825004113e+04,9.352633774589716609e+01
1.158070566170437354e+00,-2.324144646012567318e+04,-1.525265957446805260e+03,2.171618050267886792e+04,9.343730193357957603e+01
1.174657132809752813e+00,-2.292179415455449634e+04,-1.574468085106382205e+03,2.134732606944811414e+04,9.313113068510153880e+01
1.191243699449068272e+00,-2.260214184898331951e+04,-1.574468085106382205e+03,2.102767376387693730e+04,9.303398724056232538e+01
1.207830266088383508e+00,-2.228248954341214630e+04,-1.621080627099666344e+03,2.066140891631248087e+04,9.272486755153020965e+01
1.224416832727698967e+00,-2.196283723784097310e+04,-1.623670212765959150e+03,2.033916702507501395e+04,9.260719279944191840e+01
1.241003399367014426e+00,-2.193605683836589378e+04,-1.672872340425528819e+03,2.026318449794036496e+04,9.237386941166337806e+01
1.257589966006329885e+00,-2.193605683836589378e+04,-1.672872340425528819e+03,2.026318449794036496e+04,9.237386941166337806e+01
1.274176532645645343e+00,-1.151189695172958272e+04,-1.695438729803229762e+03,9.816458221926353872e+03,8.527229059717650728e+01
1.290763099284960802e+00,-1.065719360568382399e+03,-1.722074468085105764e+03,6.563551075167233648e+02,6.158798758865261647e+01
1.307349665924276261e+00,-1.065719360568382399e+03,-1.757218844984804946e+03,6.914994844164225469e+02,6.488570162107438932e+01
1.323936232563591719e+00,-2.028595740995142705e+03,-1.771276595744682709e+03,2.573191452504599965e+02,1.268459457201808682e+01
1.340522799202907178e+00,-1.252220248667850683e+04,-1.771276595744682709e+03,1.075092589093382412e+04,8.585491172476231725e+01
1.357109365842222637e+00,-1.252220248667850683e+04,-1.820478723404252378e+03,1.070172376327425445e+04,8.546199260600575087e+01
1.373695932481537874e+00,-1.059187441559401850e+04,-1.820478723404252378e+03,8.771395692189766123e+03,8.281249708999541781e+01
1.390282499120853332e+00,-1.110124333925399696e+03,-1.869680851063829323e+03,7.595565171384296264e+02,6.842085106382972981e+01
1.406869065760168791e+00,-1.100094046308593988e+03,-1.869680851063829323e+03,7.695868047552353346e+02,6.995645575372506642e+01
1.423455632399484250e+00,-5.965548694730031457e+03,-1.918882978723406268e+03,4.046665716006625189e+03,6.783392313235916049e+01
1.440042199038799708e+00,-2.033747779751331836e+04,-1.918882978723406268e+03,1.841859481878991210e+04,9.056479373780544506e+01
1.456628765678115167e+00,-2.033747779751331836e+04,-1.961426171812508983e+03,1.837605162570080938e+04,9.035560755693936130e+01
1.473215332317430626e+00,-1.382773264697773993e+04,-1.968085106382975937e+03,1.185964754059476400e+04,8.576711629716726293e+01
1.489801898956746085e+00,-1.154529307282413356e+03,-2.017287234042552882e+03,8.627579267601395259e+02,7.472810965630146995e+01
1.506388465596061543e+00,-1.154529307282413356e+03,-2.017287234042552882e+03,8.627579267601395259e+02,7.472810965630146995e+01
1.522975032235377002e+00,-1.154529307282413356e+03,-2.035784274516078767e+03,8.812549672336654112e+02,7.633023793116224454e+01
1.539561598874692461e+00,-1.174636728695865713e+03,-2.066489361702129827e+03,8.918526330062641136e+02,7.592582551002290359e+01
1.556148165514007697e+00,-1.198934280639430654e+03,-2.097564389697648039e+03,8.986301090582173856e+02,7.495240761478174818e+01
1.572734732153323156e+00,-1.198934280639430654e+03,-2.115691489361699496e+03,9.167572087222688424e+02,7.646434200157597161e+01
1.589321298792638615e+00,-1.198934280639430654e+03,-2.115691489361699496e+03,9.167572087222688424e+02,7.646434200157597161e+01
1.605907865431954074e+00,-1.198934280639430654e+03,-2.164893617021276441e+03,9.659593363818457874e+02,8.056816390858956822e+01
1.622494432071269532e+00,-1.350395787758092592e+04,-2.164893617021276441e+03,1.133906426055964948e+04,8.396845105229925821e+01
1.639080998710584991e+00,-2.186398659324794426e+04,-2.214095744680853386e+03,1.964989084856709087e+04,8.987332097356566862e+01
1.655667565349900450e+00,-2.184724689165186282e+04,-2.214095744680853386e+03,1.963315114697100944e+04,8.986556175402178326e+01
1.672254131989215908e+00,-7.841613274167006239e+03,-2.263297872340423055e+03,5.578315401826583184e+03,7.113734389584716666e+01
1.688840698628531367e+00,-1.243339253996447951e+03,-2.263297872340423055e+03,1.019958618343975104e+03,8.203381458966539697e+01
1.705427265267846826e+00,-1.243339253996447951e+03,-2.301771716525357078e+03,1.058432462528909127e+03,8.512821091482510383e+01
1.722013831907162285e+00,-1.277302734380284846e+03,-2.312500000000000000e+03,1.035197265619715154e+03,8.104556874075485950e+01
1.738600398546477521e+00,-1.287744227353461611e+03,-2.361702127659576945e+03,1.073957900306115334e+03,8.339838591342673624e+01
1.755186965185792980e+00,-1.817926388203228271e+04,-2.361702127659576945e+03,1.581756175437270576e+04,8.700881321166255589e+01
1.771773531825108439e+00,-2.184724689165186282e+04,-2.376129819228924134e+03,1.947111707242293778e+04,8.912389359165948122e+01
1.788360098464423897e+00,-2.176924279708753966e+04,-2.410904255319146614e+03,1.935833854176839304e+04,8.892518091790635992e+01
1.804946665103739356e+00,-2.047006289672208732e+04,-2.437909934410494316e+03,1.803215296231159300e+04,8.809036422256973253e+01
1.821533231743054815e+00,-2.033747779751331836e+04,-2.460106382978723559e+03,1.787737141453459481e+04,8.790358171513517505e+01
1.838119798382370274e+00,-2.033747779751331836e+04,-2.460106382978723559e+03,1.787737141453459481e+04,8.790358171513517505e+01
1.854706365021685732e+00,-1.488094928265505587e+03,-2.509308510638300504e+03,1.021213582372794917e+03,6.862556702367783146e+01
1.871292931661001191e+00,-1.792860558910360169e+03,-2.512268037114064555e+03,7.194074782037043860e+02,4.012623707004496509e+01
1.887879498300316650e+00,-2.202486678507992474e+04,-2.558510638297870173e+03,1.946635614678205457e+04,8.838353637611531610e+01
1.904466064939632108e+00,-2.202486678507992474e+04,-2.558510638297870173e+03,1.946635614678205457e+04,8.838353637611531610e+01
1.921052631578947345e+00,-1.985136019444664998e+04,-2.607712765957447118e+03,1.724364742848920287e+04,8.686380811987409345e+01
1.937639198218262804e+00,-1.376554174067496206e+03,-2.607712765957447118e+03,1.231158591889950912e+03,8.943771448181188077e+01
1.954225764857578262e+00,-1.383747665238447325e+03,-2.642117261238204719e+03,1.258369595999757394e+03,9.093923896759855552e+01
1.970812331496893721e+00,-1.437865413215576382e+03,-2.656914893617024063e+03,1.219049480401447681e+03,8.478189051611035154e+01
1.987398898136209180e+00,-5.695974955407289599e+03,-2.703897376419770353e+03,2.992077578987519246e+03,5.252968284467415572e+01
2.003985464775524861e+00,-2.064831261101243217e+04,-2.706117021276593732e+03,1.794219558973583844e+04,8.689424616792497602e+01
2.020572031414840097e+00,-1.538852764122429289e+04,-2.716475363941768137e+03,1.267205227728252430e+04,8.234739913216513685e+01
2.037158598054155334e+00,-1.527190667907847455e+03,-2.755319148936170677e+03,1.228128481028323222e+03,8.041749513246959680e+01
2.053745164693471015e+00,-1.465364120781527163e+03,-2.778255479123343321e+03,1.312891358341816158e+03,8.959488906017487864e+01
2.070331731332786251e+00,-9.502877708776031795e+03,-2.804521276595747622e+03,6.698356432180284173e+03,7.048766318432430467e+01
2.086918297972101932e+00,-2.375666074600355205e+04,-2.804521276595747622e+03,2.095213946940780443e+04,8.819480015907733161e+01
2.103504864611417169e+00,-2.303398034500858921e+04,-2.853723404255317291e+03,2.018025694075327192e+04,8.761081080424855827e+01
2.120091431250732850e+00,-1.292150891337047324e+04,-2.853723404255317291e+03,1.006778550911515595e+04,7.791493684377340401e+01
2.136677997890048086e+00,-1.048148920049803564e+04,-2.902925531914894236e+03,7.578563668583141407e+03,7.230426443813956894e+01
2.153264564529363767e+00,-2.027055022191555327e+04,-2.902925531914894236e+03,1.736762469000065903e+04,8.567909849444347969e+01
2.169851131168679004e+00,-2.020426287744227011e+04,-2.952127659574471181e+03,1.725213521786779893e+04,8.538859013327096648e+01
2.186437697807994240e+00,-9.751474769792854204e+03,-2.952127659574471181e+03,6.799347110218383023e+03,6.972634673968211416e+01
2.203024264447309921e+00,-8.057886471093948785e+03,-2.982462805951049177e+03,5.075423665142900063e+03,6.298703367626193739e+01
2.219610831086625158e+00,-1.943766158028191421e+04,-3.001329787234040850e+03,1.643633179304787336e+04,8.455920340603793761e+01
2.236197397725940839e+00,-2.366785079928951745e+04,-3.044242921132618903e+03,2.062360787815689764e+04,8.713764529382615365e+01
2.252783964365256075e+00,-8.823930819227212851e+03,-3.050531914893617795e+03,5.773398904333595056e+03,6.542887770327307351e+01
2.269370531004571756e+00,-1.598579040852575417e+03,-3.056820908654617142e+03,1.458241867802041725e+03,9.122113017472773322e+01
2.285957097643886993e+00,-1.598579040852575417e+03,-3.099734042553194740e+03,1.501155001700619323e+03,9.390558510638319945e+01
2.302543664283202673e+00,-1.632225008239721092e+03,-3.118601023836189597e+03,1.486376015596468505e+03,9.106440644476192858e+01
2.319130230922517910e+00,-1.642984014209589077e+03,-3.148936170212764409e+03,1.505952156003175332e+03,9.165957446808529596e+01
2.335716797561833591e+00,-1.642984014209589077e+03,-3.148936170212764409e+03,1.505952156003175332e+03,9.165957446808529596e+01
2.352303364201148828e+00,-1.642984014209589077e+03,-3.198138297872341354e+03,1.555154283662752277e+03,9.465425531914927149e+01
2.368889930840464064e+00,-1.642984014209589077e+03,-3.198138297872341354e+03,1.555154283662752277e+03,9.465425531914927149e+01
2.385476497479779745e+00,-1.682928190219641920e+03,-3.247340425531911023e+03,1.564412235312269104e+03,9.295775330188598673e+01
2.402063064119094982e+00,-1.728592805301238286e+03,-3.247340425531911023e+03,1.518747620230672737e+03,8.786034603250611497e+01
2.418649630758410662e+00,-1.731793960923623672e+03,-3.296542553191487968e+03,1.564748592267864296e+03,9.035420076377512544e+01
2.435236197397725899e+00,-1.775517062107413722e+03,-3.296542553191487968e+03,1.521025491084074247e+03,8.566662205311190803e+01
2.451822764037041580e+00,-2.371225577264653475e+04,-3.345744680851064913e+03,2.036651109179546984e+04,8.589023029723483660e+01
2.468409330676356817e+00,-2.371225577264653475e+04,-3.345744680851064913e+03,2.036651109179546984e+04,8.589023029723483660e+01
2.484995897315672497e+00,-2.347378269160663694e+04,-3.384588465845462451e+03,2.008919422576117358e+04,8.558141007646088383e+01
2.501582463954987734e+00,-2.031049960305670174e+04,-3.394946808510634582e+03,1.691555279454606716e+04,8.328476957799846048e+01
2.518169030594303415e+00,-2.047069271758436662e+04,-3.397166453367458416e+03,1.707352626421690729e+04,8.340473133843055109e+01
2.534755597233618651e+00,-1.912987697360350285e+04,-3.444148936170211527e+03,1.568572803743329132e+04,8.199596923219817768e+01
2.551342163872933888e+00,-9.964937195929524023e+03,-3.458946568549030872e+03,6.505990627380493606e+03,6.528882720944854157e+01
2.567928730512249569e+00,-1.731793960923623672e+03,-3.493351063829788473e+03,1.761557102906164801e+03,1.017186306601200556e+02
2.584515297151564805e+00,-1.742448864271624871e+03,-3.493351063829788473e+03,1.750902199558163602e+03,1.004851410827526621e+02
2.601101863790880486e+00,-1.776198934280637332e+03,-3.542553191489358142e+03,1.766354257208720810e+03,9.944574468085110652e+01
2.617688430430195723e+00,-1.776198934280637332e+03,-3.542553191489358142e+03,1.766354257208720810e+03,9.944574468085110652e+01
2.634274997069511404e+00,-5.052678008716833574e+03,-3.591755319148935087e+03,1.460922689567898487e+03,2.891382920200986462e+01
2.650861563708826640e+00,-1.185612788632326738e+04,-3.591755319148935087e+03,8.264372567174332289e+03,6.970549446171010288e+01
2.667448130348142321e+00,-6.753241183080300289e+03,-3.640957446808512032e+03,3.112283736271788257e+03,4.608577795310144865e+01
2.684034696987457558e+00,1.582620108920490793e+03,-3.640957446808512032e+03,5.223577555729002597e+03,3.300588389017764825e+02
2.700621263626772794e+00,1.687388987566606374e+03,-3.690159574468081701e+03,5.377548562034688075e+03,3.186905095184769721e+02
2.717207830266088475e+00,2.882601599473196075e+01,-3.690159574468081701e+03,3.718985590462813889e+03,1.290149006766134153e+04
2.733794396905403712e+00,-1.865008880994671927e+03,-3.724934010558307364e+03,1.859925129563635437e+03,9.972741408993584855e+01
2.750380963544719393e+00,-1.160731220980109538e+04,-3.739361702127658646e+03,7.867950507673436732e+03,6.778443075762035619e+01
2.766967530184034629e+00,-2.047069271758436662e+04,-3.739361702127658646e+03,1.673133101545670797e+04,8.173309641390133606e+01
2.783554096823350310e+00,-2.047069271758436662e+04,-3.788563829787235591e+03,1.668212888779713103e+04,8.149274241934737972e+01
2.800140663462665547e+00,-9.172049986747768344e+03,-3.799292113261878512e+03,5.372757873485889831e+03,5.857750318902225928e+01
2.816727230101981228e+00,-1.909413854351685586e+03,-3.837765957446805260e+03,1.928352103095119674e+03,1.009918357248886736e+02
2.833313796741296464e+00,-1.909413854351685586e+03,-3.837765957446805260e+03,1.928352103095119674e+03,1.009918357248886736e+02
2.849900363380612145e+00,-1.909413854351685586e+03,-3.886968085106382205e+03,1.977554230754696619e+03,1.035686541316181604e+02
2.866486930019927382e+00,-1.909413854351685586e+03,-3.886968085106382205e+03,1.977554230754696619e+03,1.035686541316181604e+02
2.883073496659242618e+00,-1.680723296688526898e+04,-3.936170212765959150e+03,1.287106275411930983e+04,7.658049828593877351e+01
2.899660063298558299e+00,-2.175843694493783187e+04,-3.936170212765959150e+03,1.782226673217187272e+04,8.190968302214501762e+01
2.916246629937873536e+00,-2.175843694493783187e+04,-3.985372340425528819e+03,1.777306460451230305e+04,8.168355405992186036e+01
2.932833196577189216e+00,-5.208545659305658774e+03,-3.985372340425528819e+03,1.223173318880129955e+03,2.348397036118502257e+01
2.949419763216504453e+00,-1.953818827708702884e+03,-4.034574468085105764e+03,2.080755640376402880e+03,1.064968568665377404e+02
2.966006329855820134e+00,-1.993445490722063369e+03,-4.034574468085105764e+03,2.041128977363042395e+03,1.023920135696164522e+02
2.982592896495135371e+00,-2.039110105803656097e+03,-4.065279555271156369e+03,2.026169449467500272e+03,9.936537726436034745e+01
2.999179463134451051e+00,-2.042628774422733841e+03,-4.083776595744682709e+03,2.041147821321948868e+03,9.992749768732677751e+01
3.015766029773766288e+00,-2.042628774422733841e+03,-4.127059670452727005e+03,2.084430896029993164e+03,1.020464864752075727e+02
3.032352596413081969e+00,-2.042628774422733841e+03,-4.132978723404252378e+03,2.090349948981518537e+03,1.023362627197039672e+02
3.048939163052397205e+00,-2.042628774422733841e+03,-4.139637657974722060e+03,2.097008883551988220e+03,1.026622609947626330e+02
3.065525729691712442e+00,-2.045408314426560537e+03,-4.182180851063829323e+03,2.136772536637268786e+03,1.044667962658752884e+02
3.082112296331028123e+00,-2.087033747779751138e+03,-4.182180851063829323e+03,2.095147103284078185e+03,1.003887505658669141e+02
3.098698862970343360e+00,-2.087033747779751138e+03,-4.231382978723406268e+03,2.144349230943655130e+03,1.027462652784066250e+02
3.115285429609659040e+00,-2.093592212957319134e+03,-4.231382978723406268e+03,2.137790765766087134e+03,1.021111347537128466e+02
3.131871996248974277e+00,-2.131438721136764798e+03,-4.280585106382975937e+03,2.149146385246211139e+03,1.008307845744681970e+02
3.148458562888289958e+00,-2.131438721136764798e+03,-4.280585106382975937e+03,2.149146385246211139e+03,1.008307845744681970e+02
3.165045129527605194e+00,-2.131438721136764798e+03,-4.329787234042552882e+03,2.198348512905788084e+03,1.031391843971633477e+02
3.181631696166920875e+00,-2.131438721136764798e+03,-4.329787234042552882e+03,2.198348512905788084e+03,1.031391843971633477e+02
3.198218262806236112e+00,-2.144295394937237688e+03,-4.378989361702129827e+03,2.234693966764892139e+03,1.042157704596619112e+02
3.214804829445551793e+00,-2.175843694493782095e+03,-4.378989361702129827e+03,2.203145667208347732e+03,1.012547763786367767e+02
3.231391396084867029e+00,-2.206595608993050064e+03,-4.405625099984000371e+03,2.199029490990950308e+03,9.965711352042649196e+01
3.247977962724182266e+00,-2.264653641207813052e+03,-4.428191489361699496e+03,2.163537848153886443e+03,9.553504380475602886e+01
3.264564529363497947e+00,-2.264653641207813052e+03,-4.467405215165575100e+03,2.202751573957762048e+03,9.726659891280166903e+01
3.281151096002813183e+00,-2.226343876361062485e+03,-4.477393617021276441e+03,2.251049740660213956e+03,1.011097056731205868e+02
3.297737662642128864e+00,-2.196258218641739859e+03,-4.479983202687571065e+03,2.283724984045831206e+03,1.039825355990328148e+02
3.314324229281444101e+00,-2.220248667850799393e+03,-4.526595744680853386e+03,2.306347076830053993e+03,1.038778723404256255e+02
3.330910795920759782e+00,-1.153137455228094223e+04,-4.526595744680853386e+03,7.004778807600088840e+03,6.074539315189030475e+01
